"Labour force characteristics by industry, annual" 1
"Annual"
"Table: 14-10-0023-01 (formerly CANSIM 282-0008)"
"Geography: Canada, Province or territory"

"Geography 2","North American Industry Classification System (NAICS) 3","Sex","Age group","Reference period","Labour force 4","Employment 5","Unemployment 6","Unemployment rate 7"
"",,,,,"Persons",,,"Percentage"
,,,,"2013","113.1 (x 1,000)","101.3 (x 1,000)","11.8 (x 1,000)","10.4"
,,,,"2014","111.7 (x 1,000)","100.0 (x 1,000)","11.7 (x 1,000)","10.5"
,,,,"2015","110.1 (x 1,000)","97.9 (x 1,000)","12.2 (x 1,000)","11.1"
,,,,"2016","110.7 (x 1,000)","96.6 (x 1,000)","14.1 (x 1,000)","12.7"
,,,,"2017","111.8 (x 1,000)","99.2 (x 1,000)","12.6 (x 1,000)","11.3"
,,,,"2018","113.9 (x 1,000)","101.1 (x 1,000)","12.8 (x 1,000)","11.2"
,,,,"2019","113.1 (x 1,000)","100.6 (x 1,000)","12.6 (x 1,000)","11.1"
,,,,"2020","107.2 (x 1,000)","89.8 (x 1,000)","17.4 (x 1,000)","16.2"
,,,"25 to 54 years","2010","417.3 (x 1,000)","398.7 (x 1,000)","18.6 (x 1,000)","4.5"
,,,,"2011","418.2 (x 1,000)","399.3 (x 1,000)","18.8 (x 1,000)","4.5"
,,,,"2012","420.4 (x 1,000)","402.7 (x 1,000)","17.7 (x 1,000)","4.2"
,,,,"2013","418.9 (x 1,000)","400.0 (x 1,000)","18.9 (x 1,000)","4.5"
,,,,"2014","422.3 (x 1,000)","403.5 (x 1,000)","18.8 (x 1,000)","4.5"
,,,,"2015","425.9 (x 1,000)","405.6 (x 1,000)","20.3 (x 1,000)","4.8"
,,,,"2016","426.4 (x 1,000)","404.7 (x 1,000)","21.6 (x 1,000)","5.1"
,,,,"2017","431.6 (x 1,000)","412.8 (x 1,000)","18.8 (x 1,000)","4.4"
,,,,"2018","434.9 (x 1,000)","412.7 (x 1,000)","22.2 (x 1,000)","5.1"
,,,,"2019","436.9 (x 1,000)","417.6 (x 1,000)","19.3 (x 1,000)","4.4"
,,,,"2020","436.0 (x 1,000)","406.9 (x 1,000)","29.1 (x 1,000)","6.7"
,,,"55 years and over","2010","114.3 (x 1,000)","110.2 (x 1,000)","4.2 (x 1,000)","3.7"
,,,,"2011","117.7 (x 1,000)","113.6 (x 1,000)","4.1 (x 1,000)","3.5"
,,,,"2012","120.6 (x 1,000)","115.9 (x 1,000)","4.7 (x 1,000)","3.9"
,,,,"2013","126.0 (x 1,000)","121.1 (x 1,000)","4.9 (x 1,000)","3.9"
,,,,"2014","124.8 (x 1,000)","119.6 (x 1,000)","5.2 (x 1,000)","4.2"
,,,,"2015","134.5 (x 1,000)","129.2 (x 1,000)","5.3 (x 1,000)","3.9"
,,,,"2016","135.2 (x 1,000)","129.5 (x 1,000)","5.7 (x 1,000)","4.2"
,,,,"2017","135.0 (x 1,000)","129.8 (x 1,000)","5.2 (x 1,000)","3.9"
,,,,"2018","141.8 (x 1,000)","135.2 (x 1,000)","6.5 (x 1,000)","4.6"
,,,,"2019","142.4 (x 1,000)","137.2 (x 1,000)","5.2 (x 1,000)","3.7"
,,,,"2020","142.6 (x 1,000)","134.3 (x 1,000)","8.4 (x 1,000)","5.9"
,"Goods-producing sector 9","Both sexes","15 years and over","2010","147.7 (x 1,000)","140.9 (x 1,000)","6.8 (x 1,000)","4.6"
,,,,"2011","148.1 (x 1,000)","141.9 (x 1,000)","6.2 (x 1,000)","4.2"
,,,,"2012","148.6 (x 1,000)","142.8 (x 1,000)","5.7 (x 1,000)","3.8"
,,,,"2013","152.8 (x 1,000)","146.6 (x 1,000)","6.2 (x 1,000)","4.1"
,,,,"2014","152.1 (x 1,000)","145.6 (x 1,000)","6.5 (x 1,000)","4.3"
,,,,"2015","153.4 (x 1,000)","146.6 (x 1,000)","6.8 (x 1,000)","4.4"
,,,,"2016","159.5 (x 1,000)","151.4 (x 1,000)","8.0 (x 1,000)","5.0"
,,,,"2017","157.9 (x 1,000)","152.3 (x 1,000)","5.6 (x 1,000)","3.5"
,,,,"2018","156.4 (x 1,000)","149.7 (x 1,000)","6.7 (x 1,000)","4.3"
,,,,"2019","160.5 (x 1,000)","154.0 (x 1,000)","6.5 (x 1,000)","4.0"
,,,,"2020","152.5 (x 1,000)","142.9 (x 1,000)","9.6 (x 1,000)","6.3"
,,,"15 to 24 years","2010","19.6 (x 1,000)","17.9 (x 1,000)","1.7 (x 1,000)","8.7"
,,,,"2011","21.1 (x 1,000)","19.5 (x 1,000)","1.6 (x 1,000)","7.6"
,,,,"2012","19.5 (x 1,000)","17.8 (x 1,000)","1.7 (x 1,000)","8.7"
,,,,"2013","20.5 (x 1,000)","18.9 (x 1,000)","1.6 (x 1,000)","7.8"
,,,,"2014","21.3 (x 1,000)","19.4 (x 1,000)","1.9 (x 1,000)","8.9"
,,,,"2015","19.1 (x 1,000)","17.5 (x 1,000)","1.6 (x 1,000)","8.4"
,,,,"2016","20.1 (x 1,000)","18.2 (x 1,000)","1.8 (x 1,000)","9.0"
,,,,"2017","18.0 (x 1,000)","16.7 (x 1,000)","1.3 (x 1,000)","7.2"
,,,,"2018","18.8 (x 1,000)","17.3 (x 1,000)","1.5 (x 1,000)","8.0"
,,,,"2019","18.6 (x 1,000)","16.9 (x 1,000)","1.6 (x 1,000)","8.6"
,,,,"2020","15.6 (x 1,000)","14.0 (x 1,000)","1.6 (x 1,000)","10.3"
,,,"25 to 54 years","2010","99.5 (x 1,000)","95.5 (x 1,000)","3.9 (x 1,000)","3.9"
,,,,"2011","98.1 (x 1,000)","94.4 (x 1,000)","3.6 (x 1,000)","3.7"
,,,,"2012","102.1 (x 1,000)","99.1 (x 1,000)","3.1 (x 1,000)","3.0"
,,,,"2013","101.0 (x 1,000)","97.5 (x 1,000)","3.6 (x 1,000)","3.6"
,,,,"2014","99.9 (x 1,000)","96.4 (x 1,000)","3.5 (x 1,000)","3.5"
,,,,"2015","101.6 (x 1,000)","97.3 (x 1,000)","4.3 (x 1,000)","4.2"
,,,,"2016","102.8 (x 1,000)","97.8 (x 1,000)","4.9 (x 1,000)","4.8"
,,,,"2017","105.6 (x 1,000)","102.1 (x 1,000)","3.5 (x 1,000)","3.3"
,,,,"2018","100.7 (x 1,000)","96.8 (x 1,000)","3.9 (x 1,000)","3.9"
,,,,"2019","106.2 (x 1,000)","102.4 (x 1,000)","3.8 (x 1,000)","3.6"
,,,,"2020","101.7 (x 1,000)","95.4 (x 1,000)","6.3 (x 1,000)","6.2"
,,,"55 years and over","2010","28.7 (x 1,000)","27.5 (x 1,000)","1.1 (x 1,000)","3.8"
,,,,"2011","29.0 (x 1,000)","28.0 (x 1,000)","1.0 (x 1,000)","3.4"
,,,,"2012","26.9 (x 1,000)","26.0 (x 1,000)","0.9 (x 1,000)","3.3"
,,,,"2013","31.3 (x 1,000)","30.3 (x 1,000)","1.1 (x 1,000)","3.5"
,,,,"2014","30.8 (x 1,000)","29.8 (x 1,000)","1.0 (x 1,000)","3.2"
,,,,"2015","32.7 (x 1,000)","31.8 (x 1,000)","0.9 (x 1,000)","2.8"
,,,,"2016","36.6 (x 1,000)","35.4 (x 1,000)","1.2 (x 1,000)","3.3"
,,,,"2017","34.3 (x 1,000)","33.6 (x 1,000)","0.8 (x 1,000)","2.3"
,,,,"2018","36.8 (x 1,000)","35.6 (x 1,000)","1.2 (x 1,000)","3.3"
,,,,"2019","35.7 (x 1,000)","34.6 (x 1,000)","1.1 (x 1,000)","3.1"
,,,,"2020","35.3 (x 1,000)","33.5 (x 1,000)","1.7 (x 1,000)","4.8"
,"Services-producing sector 10","Both sexes","15 years and over","2010","484.0 (x 1,000)","466.5 (x 1,000)","17.5 (x 1,000)","3.6"
,,,,"2011","486.7 (x 1,000)","470.1 (x 1,000)","16.6 (x 1,000)","3.4"
,,,,"2012","492.5 (x 1,000)","476.1 (x 1,000)","16.4 (x 1,000)","3.3"
,,,,"2013","491.6 (x 1,000)","475.8 (x 1,000)","15.8 (x 1,000)","3.2"
,,,,"2014","493.0 (x 1,000)","477.5 (x 1,000)","15.5 (x 1,000)","3.1"
,,,,"2015","502.8 (x 1,000)","486.1 (x 1,000)","16.7 (x 1,000)","3.3"
,,,,"2016","495.7 (x 1,000)","479.4 (x 1,000)","16.3 (x 1,000)","3.3"
,,,,"2017","504.6 (x 1,000)","489.5 (x 1,000)","15.2 (x 1,000)","3.0"
,,,,"2018","516.3 (x 1,000)","499.3 (x 1,000)","17.0 (x 1,000)","3.3"
,,,,"2019","517.7 (x 1,000)","501.4 (x 1,000)","16.3 (x 1,000)","3.1"
,,,,"2020","519.0 (x 1,000)","488.0 (x 1,000)","31.0 (x 1,000)","6.0"
,,,"15 to 24 years","2010","86.9 (x 1,000)","80.7 (x 1,000)","6.2 (x 1,000)","7.1"
,,,,"2011","85.1 (x 1,000)","79.6 (x 1,000)","5.6 (x 1,000)","6.6"
,,,,"2012","87.7 (x 1,000)","82.6 (x 1,000)","5.2 (x 1,000)","5.9"
,,,,"2013","87.6 (x 1,000)","82.4 (x 1,000)","5.2 (x 1,000)","5.9"
,,,,"2014","85.4 (x 1,000)","80.6 (x 1,000)","4.8 (x 1,000)","5.6"
,,,,"2015","85.8 (x 1,000)","80.4 (x 1,000)","5.4 (x 1,000)","6.3"
,,,,"2016","83.6 (x 1,000)","78.4 (x 1,000)","5.2 (x 1,000)","6.2"
,,,,"2017","87.3 (x 1,000)","82.5 (x 1,000)","4.8 (x 1,000)","5.5"
,,,,"2018","89.0 (x 1,000)","83.7 (x 1,000)","5.3 (x 1,000)","6.0"
,,,,"2019","88.5 (x 1,000)","83.6 (x 1,000)","4.9 (x 1,000)","5.5"
,,,,"2020","85.7 (x 1,000)","75.8 (x 1,000)","9.9 (x 1,000)","11.6"
,,,"25 to 54 years","2010","312.8 (x 1,000)","303.2 (x 1,000)","9.6 (x 1,000)","3.1"
,,,,"2011","313.9 (x 1,000)","304.9 (x 1,000)","9.0 (x 1,000)","2.9"
,,,,"2012","312.5 (x 1,000)","303.6 (x 1,000)","8.8 (x 1,000)","2.8"
,,,,"2013","310.8 (x 1,000)","302.5 (x 1,000)","8.3 (x 1,000)","2.7"
,,,,"2014","315.5 (x 1,000)","307.2 (x 1,000)","8.4 (x 1,000)","2.7"
,,,,"2015","317.5 (x 1,000)","308.3 (x 1,000)","9.2 (x 1,000)","2.9"
,,,,"2016","315.6 (x 1,000)","306.9 (x 1,000)","8.7 (x 1,000)","2.8"
,,,,"2017","318.8 (x 1,000)","310.8 (x 1,000)","8.0 (x 1,000)","2.5"
,,,,"2018","325.2 (x 1,000)","315.9 (x 1,000)","9.3 (x 1,000)","2.9"
,,,,"2019","324.0 (x 1,000)","315.2 (x 1,000)","8.9 (x 1,000)","2.7"
,,,,"2020","328.2 (x 1,000)","311.5 (x 1,000)","16.7 (x 1,000)","5.1"
,,,"55 years and over","2010","84.3 (x 1,000)","82.6 (x 1,000)","1.6 (x 1,000)","1.9"
,,,,"2011","87.6 (x 1,000)","85.6 (x 1,000)","2.0 (x 1,000)","2.3"
,,,,"2012","92.3 (x 1,000)","89.9 (x 1,000)","2.5 (x 1,000)","2.7"
,,,,"2013","93.2 (x 1,000)","90.9 (x 1,000)","2.3 (x 1,000)","2.5"
,,,,"2014","92.1 (x 1,000)","89.8 (x 1,000)","2.3 (x 1,000)","2.5"
,,,,"2015","99.6 (x 1,000)","97.4 (x 1,000)","2.1 (x 1,000)","2.1"
,,,,"2016","96.6 (x 1,000)","94.2 (x 1,000)","2.4 (x 1,000)","2.5"
,,,,"2017","98.6 (x 1,000)","96.2 (x 1,000)","2.4 (x 1,000)","2.4"
,,,,"2018","102.2 (x 1,000)","99.6 (x 1,000)","2.5 (x 1,000)","2.4"
,,,,"2019","105.1 (x 1,000)","102.6 (x 1,000)","2.5 (x 1,000)","2.4"
,,,,"2020","105.1 (x 1,000)","100.7 (x 1,000)","4.4 (x 1,000)","4.2"
,"Unclassified industries 11","Both sexes","15 years and over (x 1,000)","2010","10.7","..","10.7",".."
,,,,"2011","12.7","..","12.7",".."
,,,,"2012","12.7","..","12.7",".."
,,,,"2013","13.6","..","13.6",".."
,,,,"2014","13.7","..","13.7",".."
,,,,"2015","14.3","..","14.3",".."
,,,,"2016","17.1","..","17.1",".."
,,,,"2017","15.9","..","15.9",".."
,,,,"2018","17.8","..","17.8",".."
,,,,"2019","14.2","..","14.2",".."
,,,,"2020","14.3","..","14.3",".."
,,,"15 to 24 years (x 1,000)","2010","4.2","..","4.2",".."
,,,,"2011","5.4","..","5.4",".."
,,,,"2012","5.6","..","5.6",".."
,,,,"2013","5.0","..","5.0",".."
,,,,"2014","5.0","..","5.0",".."
,,,,"2015","5.2","..","5.2",".."
,,,,"2016","7.0","..","7.0",".."
,,,,"2017","6.5","..","6.5",".."
,,,,"2018","6.1","..","6.1",".."
,,,,"2019","6.0","..","6.0",".."
,,,,"2020","5.8","..","5.8",".."
,,,"25 to 54 years (x 1,000)","2010","5.1","..","5.1",".."
,,,,"2011","6.2","..","6.2",".."
,,,,"2012","5.8","..","5.8",".."
,,,,"2013","7.1","..","7.1",".."
,,,,"2014","6.9","..","6.9",".."
,,,,"2015","6.9","..","6.9",".."
,,,,"2016","8.0","..","8.0",".."
,,,,"2017","7.2","..","7.2",".."
,,,,"2018","9.0","..","9.0",".."
,,,,"2019","6.6","..","6.6",".."
,,,,"2020","6.2","..","6.2",".."
,,,"55 years and over (x 1,000)","2010","1.4","..","1.4",".."
,,,,"2011","1.2","..","1.2",".."
,,,,"2012","1.4","..","1.4",".."
,,,,"2013","1.5","..","1.5",".."
,,,,"2014","1.8","..","1.8",".."
,,,,"2015","2.3","..","2.3",".."
,,,,"2016","2.1","..","2.1",".."
,,,,"2017","2.1","..","2.1",".."
,,,,"2018","2.8","..","2.8",".."
,,,,"2019","1.6","..","1.6",".."
,,,,"2020","2.3","..","2.3",".."
"Saskatchewan","Total, all industries 8","Both sexes","15 years and over","2010","560.2 (x 1,000)","530.7 (x 1,000)","29.5 (x 1,000)","5.3"
,,,,"2011","563.0 (x 1,000)","535.0 (x 1,000)","28.0 (x 1,000)","5.0"
,,,,"2012","574.0 (x 1,000)","546.6 (x 1,000)","27.5 (x 1,000)","4.8"
,,,,"2013","584.7 (x 1,000)","560.6 (x 1,000)","24.0 (x 1,000)","4.1"
,,,,"2014","586.5 (x 1,000)","563.6 (x 1,000)","22.8 (x 1,000)","3.9"
,,,,"2015","592.9 (x 1,000)","562.7 (x 1,000)","30.3 (x 1,000)","5.1"
,,,,"2016","595.8 (x 1,000)","557.8 (x 1,000)","37.9 (x 1,000)","6.4"
,,,,"2017","595.4 (x 1,000)","557.6 (x 1,000)","37.8 (x 1,000)","6.3"
,,,,"2018","597.4 (x 1,000)","560.3 (x 1,000)","37.2 (x 1,000)","6.2"
,,,,"2019","604.5 (x 1,000)","570.9 (x 1,000)","33.6 (x 1,000)","5.6"
,,,,"2020","593.9 (x 1,000)","544.1 (x 1,000)","49.8 (x 1,000)","8.4"
,,,"15 to 24 years","2010","96.6 (x 1,000)","87.7 (x 1,000)","8.8 (x 1,000)","9.1"
,,,,"2011","95.7 (x 1,000)","86.1 (x 1,000)","9.6 (x 1,000)","10.0"
,,,,"2012","96.8 (x 1,000)","87.9 (x 1,000)","8.9 (x 1,000)","9.2"
,,,,"2013","96.1 (x 1,000)","89.1 (x 1,000)","7.0 (x 1,000)","7.3"
,,,,"2014","92.3 (x 1,000)","85.4 (x 1,000)","6.9 (x 1,000)","7.5"
,,,,"2015","92.7 (x 1,000)","83.9 (x 1,000)","8.8 (x 1,000)","9.5"
,,,,"2016","90.1 (x 1,000)","79.7 (x 1,000)","10.4 (x 1,000)","11.5"
,,,,"2017","87.5 (x 1,000)","77.4 (x 1,000)","10.1 (x 1,000)","11.5"
,,,,"2018","86.3 (x 1,000)","76.4 (x 1,000)","10.0 (x 1,000)","11.6"
,,,,"2019","87.3 (x 1,000)","77.3 (x 1,000)","10.0 (x 1,000)","11.5"
,,,,"2020","85.4 (x 1,000)","70.5 (x 1,000)","15.0 (x 1,000)","17.6"
,,,"25 to 54 years","2010","357.4 (x 1,000)","340.8 (x 1,000)","16.6 (x 1,000)","4.6"
,,,,"2011","358.1 (x 1,000)","343.3 (x 1,000)","14.8 (x 1,000)","4.1"
,,,,"2012","362.5 (x 1,000)","347.8 (x 1,000)","14.7 (x 1,000)","4.1"
,,,,"2013","367.4 (x 1,000)","354.1 (x 1,000)","13.3 (x 1,000)","3.6"
,,,,"2014","369.9 (x 1,000)","357.5 (x 1,000)","12.4 (x 1,000)","3.4"
,,,,"2015","376.3 (x 1,000)","359.3 (x 1,000)","17.0 (x 1,000)","4.5"
,,,,"2016","377.9 (x 1,000)","356.5 (x 1,000)","21.3 (x 1,000)","5.6"
,,,,"2017","377.3 (x 1,000)","356.0 (x 1,000)","21.3 (x 1,000)","5.6"
,,,,"2018","377.7 (x 1,000)","356.9 (x 1,000)","20.8 (x 1,000)","5.5"
,,,,"2019","380.8 (x 1,000)","362.4 (x 1,000)","18.4 (x 1,000)","4.8"
,,,,"2020","377.8 (x 1,000)","351.0 (x 1,000)","26.8 (x 1,000)","7.1"
,,,"55 years and over","2010","106.2 (x 1,000)","102.2 (x 1,000)","4.1 (x 1,000)","3.9"
,,,,"2011","109.3 (x 1,000)","105.6 (x 1,000)","3.6 (x 1,000)","3.3"
,,,,"2012","114.7 (x 1,000)","110.9 (x 1,000)","3.9 (x 1,000)","3.4"
,,,,"2013","121.1 (x 1,000)","117.5 (x 1,000)","3.7 (x 1,000)","3.1"
,,,,"2014","124.2 (x 1,000)","120.7 (x 1,000)","3.5 (x 1,000)","2.8"
,,,,"2015","124.0 (x 1,000)","119.5 (x 1,000)","4.5 (x 1,000)","3.6"
,,,,"2016","127.8 (x 1,000)","121.6 (x 1,000)","6.2 (x 1,000)","4.9"
,,,,"2017","130.7 (x 1,000)","124.2 (x 1,000)","6.5 (x 1,000)","5.0"
,,,,"2018","133.4 (x 1,000)","127.0 (x 1,000)","6.4 (x 1,000)","4.8"
,,,,"2019","136.5 (x 1,000)","131.2 (x 1,000)","5.2 (x 1,000)","3.8"
,,,,"2020","130.7 (x 1,000)","122.6 (x 1,000)","8.1 (x 1,000)","6.2"
,"Goods-producing sector 9","Both sexes","15 years and over","2010","154.0 (x 1,000)","147.3 (x 1,000)","6.7 (x 1,000)","4.4"
,,,,"2011","151.7 (x 1,000)","145.6 (x 1,000)","6.1 (x 1,000)","4.0"
,,,,"2012","156.2 (x 1,000)","150.6 (x 1,000)","5.6 (x 1,000)","3.6"
,,,,"2013","164.0 (x 1,000)","159.1 (x 1,000)","4.9 (x 1,000)","3.0"
,,,,"2014","170.9 (x 1,000)","165.4 (x 1,000)","5.5 (x 1,000)","3.2"
,,,,"2015","166.2 (x 1,000)","156.8 (x 1,000)","9.4 (x 1,000)","5.7"
,,,,"2016","161.0 (x 1,000)","151.2 (x 1,000)","9.9 (x 1,000)","6.1"
,,,,"2017","155.5 (x 1,000)","146.7 (x 1,000)","8.9 (x 1,000)","5.7"
,,,,"2018","152.4 (x 1,000)","144.5 (x 1,000)","7.9 (x 1,000)","5.2"
,,,,"2019","152.0 (x 1,000)","145.5 (x 1,000)","6.5 (x 1,000)","4.3"
,,,,"2020","144.6 (x 1,000)","133.7 (x 1,000)","10.8 (x 1,000)","7.5"
,,,"15 to 24 years","2010","20.7 (x 1,000)","19.1 (x 1,000)","1.6 (x 1,000)","7.7"
,,,,"2011","20.9 (x 1,000)","19.1 (x 1,000)","1.8 (x 1,000)","8.6"
,,,,"2012","21.9 (x 1,000)","20.5 (x 1,000)","1.4 (x 1,000)","6.4"
,,,,"2013","23.2 (x 1,000)","22.1 (x 1,000)","1.1 (x 1,000)","4.7"
,,,,"2014","24.3 (x 1,000)","23.0 (x 1,000)","1.3 (x 1,000)","5.3"
,,,,"2015","20.7 (x 1,000)","18.9 (x 1,000)","1.8 (x 1,000)","8.7"
,,,,"2016","18.6 (x 1,000)","16.4 (x 1,000)","2.2 (x 1,000)","11.8"
,,,,"2017","17.5 (x 1,000)","16.0 (x 1,000)","1.5 (x 1,000)","8.6"
,,,,"2018","16.1 (x 1,000)","14.8 (x 1,000)","1.3 (x 1,000)","8.1"
,,,,"2019","14.5 (x 1,000)","13.4 (x 1,000)","1.1 (x 1,000)","7.6"
,,,,"2020","16.2 (x 1,000)","14.0 (x 1,000)","2.2 (x 1,000)","13.6"
,,,"25 to 54 years","2010","99.2 (x 1,000)","95.1 (x 1,000)","4.1 (x 1,000)","4.1"
,,,,"2011","97.0 (x 1,000)","93.4 (x 1,000)","3.6 (x 1,000)","3.7"
,,,,"2012","99.4 (x 1,000)","96.0 (x 1,000)","3.4 (x 1,000)","3.4"
,,,,"2013","103.5 (x 1,000)","100.6 (x 1,000)","2.9 (x 1,000)","2.8"
,,,,"2014","104.2 (x 1,000)","101.1 (x 1,000)","3.1 (x 1,000)","3.0"
,,,,"2015","104.4 (x 1,000)","98.2 (x 1,000)","6.2 (x 1,000)","5.9"
,,,,"2016","102.1 (x 1,000)","96.2 (x 1,000)","6.0 (x 1,000)","5.9"
,,,,"2017","99.6 (x 1,000)","93.9 (x 1,000)","5.7 (x 1,000)","5.7"
,,,,"2018","95.4 (x 1,000)","90.4 (x 1,000)","4.9 (x 1,000)","5.1"
,,,,"2019","98.4 (x 1,000)","94.0 (x 1,000)","4.3 (x 1,000)","4.4"
,,,,"2020","92.1 (x 1,000)","85.2 (x 1,000)","6.9 (x 1,000)","7.5"
,,,"55 years and over","2010","34.1 (x 1,000)","33.1 (x 1,000)","1.0 (x 1,000)","2.9"
,,,,"2011","33.9 (x 1,000)","33.1 (x 1,000)","0.8 (x 1,000)","2.4"
,,,,"2012","34.9 (x 1,000)","34.2 (x 1,000)","0.8 (x 1,000)","2.3"
,,,,"2013","37.4 (x 1,000)","36.4 (x 1,000)","0.9 (x 1,000)","2.4"
,,,,"2014","42.4 (x 1,000)","41.3 (x 1,000)","1.1 (x 1,000)","2.6"
,,,,"2015","41.0 (x 1,000)","39.6 (x 1,000)","1.4 (x 1,000)","3.4"
,,,,"2016","40.3 (x 1,000)","38.6 (x 1,000)","1.7 (x 1,000)","4.2"
,,,,"2017","38.4 (x 1,000)","36.7 (x 1,000)","1.7 (x 1,000)","4.4"
,,,,"2018","40.9 (x 1,000)","39.3 (x 1,000)","1.6 (x 1,000)","3.9"
,,,,"2019","39.1 (x 1,000)","38.1 (x 1,000)","1.0 (x 1,000)","2.6"
,,,,"2020","36.3 (x 1,000)","34.6 (x 1,000)","1.7 (x 1,000)","4.7"
,"Services-producing sector 10","Both sexes","15 years and over","2010","397.3 (x 1,000)","383.4 (x 1,000)","13.9 (x 1,000)","3.5"
,,,,"2011","401.1 (x 1,000)","389.4 (x 1,000)","11.6 (x 1,000)","2.9"
,,,,"2012","408.9 (x 1,000)","396.0 (x 1,000)","13.0 (x 1,000)","3.2"
,,,,"2013","412.9 (x 1,000)","401.5 (x 1,000)","11.4 (x 1,000)","2.8"
,,,,"2014","409.1 (x 1,000)","398.2 (x 1,000)","10.8 (x 1,000)","2.6"
,,,,"2015","418.0 (x 1,000)","405.9 (x 1,000)","12.2 (x 1,000)","2.9"
,,,,"2016","423.3 (x 1,000)","406.6 (x 1,000)","16.7 (x 1,000)","3.9"
,,,,"2017","425.7 (x 1,000)","410.9 (x 1,000)","14.8 (x 1,000)","3.5"
,,,,"2018","430.5 (x 1,000)","415.7 (x 1,000)","14.7 (x 1,000)","3.4"
,,,,"2019","438.6 (x 1,000)","425.4 (x 1,000)","13.2 (x 1,000)","3.0"
,,,,"2020","437.2 (x 1,000)","410.4 (x 1,000)","26.8 (x 1,000)","6.1"
,,,"15 to 24 years","2010","73.2 (x 1,000)","68.6 (x 1,000)","4.6 (x 1,000)","6.3"
,,,,"2011","71.3 (x 1,000)","67.0 (x 1,000)","4.3 (x 1,000)","6.0"
,,,,"2012","72.1 (x 1,000)","67.4 (x 1,000)","4.7 (x 1,000)","6.5"
,,,,"2013","70.5 (x 1,000)","67.0 (x 1,000)","3.6 (x 1,000)","5.1"
,,,,"2014","65.6 (x 1,000)","62.4 (x 1,000)","3.2 (x 1,000)","4.9"
,,,,"2015","68.8 (x 1,000)","64.9 (x 1,000)","3.9 (x 1,000)","5.7"
,,,,"2016","68.0 (x 1,000)","63.3 (x 1,000)","4.7 (x 1,000)","6.9"
,,,,"2017","65.5 (x 1,000)","61.4 (x 1,000)","4.1 (x 1,000)","6.3"
,,,,"2018","65.5 (x 1,000)","61.6 (x 1,000)","3.9 (x 1,000)","6.0"
,,,,"2019","67.9 (x 1,000)","63.9 (x 1,000)","4.0 (x 1,000)","5.9"
,,,,"2020","64.6 (x 1,000)","56.5 (x 1,000)","8.1 (x 1,000)","12.5"
,,,"25 to 54 years","2010","253.2 (x 1,000)","245.7 (x 1,000)","7.5 (x 1,000)","3.0"
,,,,"2011","255.7 (x 1,000)","249.9 (x 1,000)","5.8 (x 1,000)","2.3"
,,,,"2012","258.4 (x 1,000)","251.8 (x 1,000)","6.5 (x 1,000)","2.5"
,,,,"2013","259.7 (x 1,000)","253.5 (x 1,000)","6.2 (x 1,000)","2.4"
,,,,"2014","262.6 (x 1,000)","256.4 (x 1,000)","6.1 (x 1,000)","2.3"
,,,,"2015","267.2 (x 1,000)","261.1 (x 1,000)","6.1 (x 1,000)","2.3"
,,,,"2016","269.6 (x 1,000)","260.4 (x 1,000)","9.3 (x 1,000)","3.4"
,,,,"2017","270.3 (x 1,000)","262.1 (x 1,000)","8.2 (x 1,000)","3.0"
,,,,"2018","274.6 (x 1,000)","266.4 (x 1,000)","8.2 (x 1,000)","3.0"
,,,,"2019","275.3 (x 1,000)","268.4 (x 1,000)","6.9 (x 1,000)","2.5"
,,,,"2020","279.9 (x 1,000)","265.9 (x 1,000)","14.1 (x 1,000)","5.0"
,,,"55 years and over","2010","70.9 (x 1,000)","69.1 (x 1,000)","1.8 (x 1,000)","2.5"
,,,,"2011","74.1 (x 1,000)","72.5 (x 1,000)","1.6 (x 1,000)","2.2"
,,,,"2012","78.5 (x 1,000)","76.7 (x 1,000)","1.8 (x 1,000)","2.3"
,,,,"2013","82.6 (x 1,000)","81.0 (x 1,000)","1.6 (x 1,000)","1.9"
,,,,"2014","80.9 (x 1,000)","79.4 (x 1,000)","1.5 (x 1,000)","1.9"
,,,,"2015","82.0 (x 1,000)","79.9 (x 1,000)","2.2 (x 1,000)","2.7"
,,,,"2016","85.7 (x 1,000)","83.0 (x 1,000)","2.8 (x 1,000)","3.3"
,,,,"2017","90.0 (x 1,000)","87.5 (x 1,000)","2.5 (x 1,000)","2.8"
,,,,"2018","90.3 (x 1,000)","87.7 (x 1,000)","2.6 (x 1,000)","2.9"
,,,,"2019","95.4 (x 1,000)","93.1 (x 1,000)","2.3 (x 1,000)","2.4"
,,,,"2020","92.7 (x 1,000)","88.0 (x 1,000)","4.7 (x 1,000)","5.1"
,"Unclassified industries 11","Both sexes","15 years and over (x 1,000)","2010","8.9","..","8.9",".."
,,,,"2011","10.2","..","10.2",".."
,,,,"2012","8.9","..","8.9",".."
,,,,"2013","7.8","..","7.8",".."
,,,,"2014","6.5","..","6.5",".."
,,,,"2015","8.7","..","8.7",".."
,,,,"2016","11.4","..","11.4",".."
,,,,"2017","14.2","..","14.2",".."
,,,,"2018","14.5","..","14.5",".."
,,,,"2019","13.9","..","13.9",".."
,,,,"2020","12.2","..","12.2",".."
,,,"15 to 24 years (x 1,000)","2010","2.7","..","2.7",".."
,,,,"2011","3.5","..","3.5",".."
,,,,"2012","2.8","..","2.8",".."
,,,,"2013","2.4","..","2.4",".."
,,,,"2014","2.4","..","2.4",".."
